0.375193,3.820686,6.939608
0.311320,3.848970,6.653987
0.317578,3.669690,6.823598
0.492028,3.467150,6.733955
0.379722,3.146727,6.502010
0.263834,2.758069,6.375753
0.002774,2.681818,6.262262
-0.127153,2.972873,6.597465
-0.325454,3.681360,7.243016
-0.295330,4.906297,8.215808
1.225278,5.362836,8.453931
1.603431,4.850572,8.324009
1.009904,4.232201,7.661815
0.375252,2.895761,6.111738
-0.249274,2.794972,6.338642
-0.484129,3.797578,7.381140
1.441533,5.457796,8.504004
1.949326,4.588174,8.893961
1.611244,4.014238,8.240007
-0.922889,3.285149,6.191389
-1.090493,1.967124,5.513855
-0.717678,1.440745,5.621644
-0.358904,1.196443,5.392534
-0.393505,1.189481,5.426398
-0.525075,1.301096,5.345745
-0.486419,1.883912,5.602516
-0.878615,2.057059,5.152430
-0.906327,1.709066,5.406819
-1.033913,2.329166,5.933300
-1.145722,3.790776,6.928171
-1.201459,3.262706,6.915321
-1.115382,3.225030,6.548961
-0.709807,4.371686,7.475595
-0.148310,5.059953,7.917489
0.325295,5.448862,7.680845
0.075559,4.881966,7.245435
-0.854408,4.076440,7.329525
-1.213588,4.036335,7.537872
-1.099777,4.376667,7.973283
-1.230619,4.233757,7.745021
-1.212063,4.310818,7.826033
-0.949557,4.116498,7.790100
-1.026737,4.337940,7.358450
-0.435851,4.940485,7.540648
0.426020,4.436305,7.805264
-1.055235,3.963998,6.923072
-1.275712,3.636177,6.723976
-0.865126,3.584353,6.516995
-0.658930,3.991993,6.841166
0.147458,4.168601,7.887414
0.457351,4.698911,7.805020
0.338361,5.248336,7.710524
0.278386,5.115277,7.325506
-0.040206,5.251311,7.419989
0.024118,5.110778,7.592696
0.082797,5.232836,7.640037
-0.043820,4.572709,7.383788
-0.395263,4.194350,7.512598
-0.525383,4.240479,7.346658
-0.452101,4.471922,8.010637
0.108059,4.891163,8.597270
1.348759,5.129677,8.809409
1.805709,5.044655,8.841723
1.576379,4.141586,8.567225
-0.350717,4.647562,8.291151
0.061713,5.088961,8.365270
0.884220,5.266515,8.129198
0.961589,5.394775,8.259593
1.789225,5.358048,8.555444
2.081346,5.125078,8.551251
1.968135,5.341180,8.154467
1.763639,5.475482,8.259614
2.155263,5.108610,8.016678
2.311613,4.831522,7.842843
2.302788,4.705471,7.763250
2.111415,4.593690,7.775537
2.184871,4.237311,7.828298
2.053918,4.284009,7.742565
2.287714,4.135951,8.099911
2.136147,4.381778,8.256638
2.019024,4.386293,8.351472
2.029162,4.291011,8.668518
1.747382,4.341234,8.603709
1.528039,4.670859,8.732458
1.422598,4.628904,8.297552
2.028284,4.519905,8.734301
1.679191,4.374392,8.550430
1.389051,3.960184,8.141385
0.791801,4.011195,7.937765
0.578680,4.083353,7.938111
0.897445,3.946821,7.507292
0.916589,3.625725,7.121877
0.679722,3.102034,6.496234
0.551188,2.703706,6.210505
0.346378,2.547626,5.915227
0.150171,2.263918,5.762289
-0.296487,2.150531,5.600286
-0.682380,2.237131,5.387873
-0.748053,2.120837,5.093048
-0.660459,1.933281,4.841280
-0.740685,1.715726,4.853115
-0.475967,1.804534,5.065996
-0.369403,1.640981,5.434425
0.146151,1.623347,5.619324
0.365099,2.214363,5.568156
0.202208,2.070370,5.385887
0.080168,1.705119,4.905039
-0.180266,1.335268,4.758396
-0.289016,1.138881,4.615444
-0.218438,1.207920,4.716249
-0.105268,1.170770,4.702651
-0.039925,1.404860,4.953400
-0.248143,1.119164,4.938423
-0.194513,1.297834,5.010607
-0.328650,1.595332,5.765888
-1.052266,3.869137,6.856804
