id,slice_id,x,y,z
0.000000,0.000000,2.480037,4.918464,0.000000
1.000000,0.000000,0.283351,4.674773,0.000000
2.000000,0.000000,1.662449,5.365681,0.000000
3.000000,0.000000,2.782174,3.776346,0.000000
4.000000,0.000000,1.244085,6.307145,0.000000
5.000000,0.000000,2.298877,3.204660,0.000000
6.000000,0.000000,3.370359,5.527804,0.000000
7.000000,0.000000,2.341506,4.601777,0.000000
8.000000,0.000000,3.763584,3.740587,0.000000
9.000000,0.000000,2.229596,4.662948,0.000000
10.000000,0.000000,0.352857,5.635152,0.000000
11.000000,0.000000,1.298959,4.686488,0.000000
12.000000,0.000000,1.204249,2.939258,0.000000
13.000000,0.000000,3.379928,3.643158,0.000000
14.000000,0.000000,1.675016,4.115894,0.000000
15.000000,0.000000,2.680968,3.376552,0.000000
16.000000,0.000000,2.336102,3.305892,0.000000
17.000000,0.000000,2.650758,3.068052,0.000000
18.000000,0.000000,1.769368,4.275025,0.000000
19.000000,0.000000,0.114496,3.669807,0.000000
20.000000,0.000000,2.499804,4.074751,0.000000
21.000000,0.000000,1.214530,2.836792,0.000000
22.000000,0.000000,0.904116,3.693079,0.000000
23.000000,0.000000,1.282806,3.282628,0.000000
24.000000,0.000000,3.169415,5.673447,0.000000
25.000000,0.000000,2.571638,5.953806,0.000000
26.000000,0.000000,3.560593,3.266553,0.000000
27.000000,0.000000,3.182736,3.154288,0.000000
28.000000,0.000000,3.586466,5.210020,0.000000
29.000000,0.000000,0.744772,2.718731,0.000000
30.000000,0.000000,1.222088,3.914766,0.000000
31.000000,0.000000,1.588444,2.586179,0.000000
32.000000,0.000000,1.806658,4.205483,0.000000
33.000000,0.000000,0.473141,4.847336,0.000000
34.000000,0.000000,2.948549,3.694345,0.000000
35.000000,0.000000,2.662286,5.265888,0.000000
36.000000,0.000000,1.819745,3.955436,0.000000
37.000000,0.000000,0.761244,3.446102,0.000000
38.000000,0.000000,1.352982,4.286982,0.000000
39.000000,0.000000,3.515162,6.265932,0.000000
40.000000,0.000000,3.806382,3.425152,0.000000
41.000000,0.000000,2.562471,2.977176,0.000000
42.000000,0.000000,3.823386,5.178582,0.000000
43.000000,0.000000,0.893534,4.614756,0.000000
44.000000,0.000000,1.061656,4.439358,0.000000
45.000000,0.000000,1.458079,5.167256,0.000000
46.000000,0.000000,0.637255,4.317747,0.000000
47.000000,0.000000,2.116866,4.404874,0.000000
48.000000,0.000000,2.228814,4.991924,0.000000
49.000000,0.000000,2.136333,5.094738,0.000000
50.000000,0.000000,2.644257,4.364219,0.000000
51.000000,0.000000,3.102713,5.959829,0.000000
52.000000,0.000000,0.760263,2.971110,0.000000
53.000000,0.000000,3.436482,5.109679,0.000000
54.000000,0.000000,0.644772,2.956348,0.000000
55.000000,0.000000,0.784269,4.938175,0.000000
56.000000,0.000000,2.488513,5.522867,0.000000
57.000000,0.000000,3.884813,3.959978,0.000000
58.000000,0.000000,2.937662,5.617258,0.000000
59.000000,0.000000,1.925035,2.466752,0.000000
60.000000,0.000000,2.298571,4.076722,0.000000
61.000000,0.000000,3.852447,5.664213,0.000000
62.000000,0.000000,2.031711,4.134120,0.000000
63.000000,0.000000,1.258129,3.209053,0.000000
64.000000,0.000000,2.055399,6.631223,0.000000
65.000000,0.000000,2.700246,6.457849,0.000000
66.000000,0.000000,1.054428,6.281125,0.000000
67.000000,0.000000,0.464915,3.849355,0.000000
68.000000,0.000000,2.970984,3.510224,0.000000
69.000000,0.000000,1.491372,3.692163,0.000000
70.000000,0.000000,2.428179,4.705077,0.000000
71.000000,0.000000,1.310272,4.289818,0.000000
72.000000,0.000000,3.546302,4.190734,0.000000
73.000000,0.000000,4.353645,4.768486,0.000000
74.000000,0.000000,2.012580,5.717073,0.000000
75.000000,0.000000,0.876998,5.432931,0.000000
76.000000,0.000000,2.108075,5.609750,0.000000
77.000000,0.000000,3.460756,3.726239,0.000000
78.000000,0.000000,1.703221,6.013864,0.000000
79.000000,0.000000,3.025108,3.858025,0.000000
80.000000,0.000000,3.497653,2.835876,0.000000
81.000000,0.000000,2.460889,3.243483,0.000000
82.000000,0.000000,-0.075385,4.010106,0.000000
83.000000,0.000000,2.360914,6.369378,0.000000
84.000000,0.000000,2.336590,5.068712,0.000000
85.000000,0.000000,3.247286,4.470109,0.000000
86.000000,0.000000,3.623338,5.912344,0.000000
87.000000,0.000000,0.757979,3.802675,0.000000
88.000000,0.000000,1.511071,6.340588,0.000000
89.000000,0.000000,2.258696,3.425866,0.000000
90.000000,0.000000,4.233971,4.421400,0.000000
91.000000,0.000000,3.525212,4.314782,0.000000
92.000000,0.000000,2.229640,4.152020,0.000000
93.000000,0.000000,2.013304,5.220613,0.000000
94.000000,0.000000,2.790106,2.647048,0.000000
95.000000,0.000000,2.640661,3.816225,0.000000
96.000000,0.000000,2.187968,4.773846,0.000000
97.000000,0.000000,3.189162,4.199230,0.000000
98.000000,0.000000,0.937487,3.168047,0.000000
99.000000,0.000000,1.752638,3.551758,0.000000
100.000000,1.000000,1.172445,4.779988,0.000000
101.000000,1.000000,2.302620,3.992387,0.000000
102.000000,1.000000,1.927489,3.807510,0.000000
103.000000,1.000000,1.852191,5.975923,0.000000
104.000000,1.000000,3.012346,3.315400,0.000000
105.000000,1.000000,2.696655,4.187026,0.000000
106.000000,1.000000,3.540198,4.986829,0.000000
107.000000,1.000000,-0.078621,3.998262,0.000000
108.000000,1.000000,2.821539,3.840817,0.000000
109.000000,1.000000,0.420427,5.075616,0.000000
110.000000,1.000000,0.700326,2.801960,0.000000
111.000000,1.000000,2.231893,4.190268,0.000000
112.000000,1.000000,3.749606,5.632417,0.000000
113.000000,1.000000,1.481007,2.993348,0.000000
114.000000,1.000000,2.919598,5.748554,0.000000
115.000000,1.000000,0.450558,3.761258,0.000000
116.000000,1.000000,3.011635,5.292903,0.000000
117.000000,1.000000,0.645862,3.424721,0.000000
118.000000,1.000000,2.990877,4.280797,0.000000
119.000000,1.000000,1.943454,5.438789,0.000000
120.000000,1.000000,1.776004,4.931013,0.000000
121.000000,1.000000,2.901850,4.289184,0.000000
122.000000,1.000000,1.930895,4.800293,0.000000
123.000000,1.000000,2.438141,5.419877,0.000000
124.000000,1.000000,4.067868,3.851274,0.000000
125.000000,1.000000,2.188340,5.549373,0.000000
126.000000,1.000000,0.378738,5.067793,0.000000
127.000000,1.000000,1.706879,4.871854,0.000000
128.000000,1.000000,2.612018,2.861451,0.000000
129.000000,1.000000,0.988332,3.670161,0.000000
130.000000,1.000000,1.926018,3.181139,0.000000
131.000000,1.000000,2.410316,3.943872,0.000000
132.000000,1.000000,1.846733,4.784132,0.000000
133.000000,1.000000,2.156403,5.656133,0.000000
134.000000,1.000000,1.969686,4.415451,0.000000
135.000000,1.000000,2.340363,5.718247,0.000000
136.000000,1.000000,2.489513,5.978199,0.000000
137.000000,1.000000,2.242475,6.309447,0.000000
138.000000,1.000000,1.196492,2.817589,0.000000
139.000000,1.000000,0.339769,5.096106,0.000000
140.000000,1.000000,3.528698,4.212643,0.000000
141.000000,1.000000,2.454228,4.927548,0.000000
142.000000,1.000000,1.620417,3.085540,0.000000
143.000000,1.000000,2.268197,4.777755,0.000000
144.000000,1.000000,3.093486,4.856448,0.000000
